id,name,description_format,code_format,type_format
format_exogenus_01,FORMATO_1001,PAGOS Y ABONOS EN CUENTA Y RETENCIONES,1001,FORMATO_1001
format_exogenus_02,FORMATO_1003,RETENCIONES EN LA FUENTE QUE LES PRACTICARON,1003,FORMATO_1003
format_exogenus_03,FORMATO_1004,DESCUENTOS TRIBUTARIOS SOLICITADOS,1004,FORMATO_1004
format_exogenus_04,FORMATO_1005,IMPUESTO IVA DESCONTABLE,1005,FORMATO_1005
format_exogenus_05,FORMATO_1006,IMPUESTO IVA GENERADO,1006,FORMATO_1006
format_exogenus_06,FORMATO_1007,INGRESOS RECIBIDOS,1007,FORMATO_1007
format_exogenus_07,FORMATO_1008,SALDOS DE CUENTAS POR COBRAR,1008,FORMATO_1008
format_exogenus_08,FORMATO_1009,SALDO DE CUENTAS POR PAGAR,1009,FORMATO_1009
format_exogenus_09,FORMATO_1010,INFORMACION DE SOCIOS ACCIONISTAS COOPERADOS,1010,FORMATO_1010
format_exogenus_10,FORMATO_1011,INFORMACION DE LAS DECLARACIONES TRIBUTARIAS,1011,FORMATO_1011
format_exogenus_11,FORMATO_1012,INFORMACION DE LAS DECLARACIONES TRIBUTARIAS.ACCIONES.INVERSIONES DE BONOS.CUENTAS DE AHORRO Y CORRIENTE,1012,FORMATO_1012
format_exogenus_15,FORMATO_2276,INFORMACION CERTIFICADO DE INGRESOS Y RETENCIONES PARA PERSONAS NATURALES EMPLEADOS,2276,FORMATO_2276
