id,name,sequence,format_exogenus_column_id
column_01,Concepto,1,FORMATO_1012
column_02,Tipo de Documento,2,FORMATO_1012
column_03,NIT informado,3,FORMATO_1012
column_04,DV,4,FORMATO_1012
column_05,Primer apellido del informado,5,FORMATO_1012
column_06,Segundo apellido del informado,6,FORMATO_1012
column_07,Primer nombre del informado,7,FORMATO_1012
column_08,Otros nombres del informado,8,FORMATO_1012
column_09,Razón social informado,9,FORMATO_1012
column_10,País de Residencia o domicilio,10,FORMATO_1012
column_11,Valor 31-12,11,FORMATO_1012
column_38,Concepto,38,FORMATO_1007
column_39,Tipo de documento,39,FORMATO_1007
column_40,Número identificación ,40,FORMATO_1007
column_41,Primer apellido del informado,41,FORMATO_1007
column_42,Segundo apellido del informado,42,FORMATO_1007
column_43,Primer nombre del informado,43,FORMATO_1007
column_44,Otros nombres del informado,44,FORMATO_1007
column_45,Razón social informado,45,FORMATO_1007
column_46,País de Residencia o domicilio,46,FORMATO_1007
column_47,Ingresos brutos recibidos,47,FORMATO_1007
column_48,Devoluciones rebajas y descuentos,48,FORMATO_1007
column_49,Tipo de Documento,49,FORMATO_1006
column_50,Número identificación,50,FORMATO_1006
column_51,DV,51,FORMATO_1006
column_52,Primer apellido del informado,52,FORMATO_1006
column_53,Segundo apellido del informado,53,FORMATO_1006
column_54,Primer nombre del informado,54,FORMATO_1006
column_55,Otros nombres del informado,55,FORMATO_1006
column_56,Razón social informado,56,FORMATO_1006
column_57,Impuesto generado,57,FORMATO_1006
column_58,IVA recuperado en devoluciones en compras anuladas. rescindidas o resueltas,58,FORMATO_1006
column_59,Impuesto al consumo,59,FORMATO_1006
column_60,Tipo de documento,60,FORMATO_1005
column_61,Número identificación,61,FORMATO_1005
column_62,DV,62,FORMATO_1005
column_63,Primer apellido del informado,63,FORMATO_1005
column_64,Segundo apellido del informado,64,FORMATO_1005
column_65,Primer nombre del informado,65,FORMATO_1005
column_66,Otros nombres del informado,66,FORMATO_1005
column_67,Razón social informado,67,FORMATO_1005
column_68,Impuesto Descontable,68,FORMATO_1005
column_69,IVA resultante por devoluciones en ventas anuladas. rescindidas o resueltas,69,FORMATO_1005

column_115,Tipo de Documento,115,FORMATO_1010
column_116,Número de documento,116,FORMATO_1010
column_117,DV,117,FORMATO_1010
column_118,Primer apellido socio o accionista,118,FORMATO_1010
column_119,Segundo apellido socio o accionista,119,FORMATO_1010
column_120,Primer nombre del socio o accionista,120,FORMATO_1010
column_121,Otros nombres socio o accionista,121,FORMATO_1010
column_122,Razón social ,122,FORMATO_1010
column_123,Dirección,123,FORMATO_1010
column_124,Código dpto,124,FORMATO_1010
column_125,Código mcp,125,FORMATO_1010
column_126,País de Residencia o domicilio,126,FORMATO_1010
column_127,Valor patrimonial acciones o aportes al 31-12,127,FORMATO_1010
column_128,Porcentaje de participación,128,FORMATO_1010
column_129,Porcentaje de participación (posición decimal),129,FORMATO_1010
column_130,Concepto,130,FORMATO_1009
column_131,Tipo de documento,131,FORMATO_1009
column_132,Número identificación acreedor,132,FORMATO_1009
column_133,DV,133,FORMATO_1009
column_134,Primer apellido acreedor,134,FORMATO_1009
column_135,Segundo apellido acreedor,135,FORMATO_1009
column_136,Primer nombre acreedor,136,FORMATO_1009
column_137,Otros nombres acreedor,137,FORMATO_1009
column_138,Razón social acreedor,138,FORMATO_1009
column_139,Dirección,139,FORMATO_1009
column_140,Código dpto,140,FORMATO_1009
column_141,Código mcp,141,FORMATO_1009
column_142,País de Residencia o domicilio,142,FORMATO_1009
column_143,Saldo cuentas por pagar al 31-12,143,FORMATO_1009
column_144,Concepto,144,FORMATO_1008
column_145,Tipo de documento,145,FORMATO_1008
column_146,Número identificación deudor,146,FORMATO_1008
column_147,DV,147,FORMATO_1008
column_148,Primer apellido deudor,148,FORMATO_1008
column_149,Segundo apellido deudor,149,FORMATO_1008
column_150,Primer nombre deudor,150,FORMATO_1008
column_151,Otros nombres deudor,151,FORMATO_1008
column_152,Razón social deudor,152,FORMATO_1008
