id,name,description_concept,format_exogenus_concept_id
concept_01,Concepto 5007,Compra de activos movibles . El vlor acumulado pagado o abonado en cuenta,FORMATO_1001
concept_02,Concepto 5020,Compra de activos fijos reales productivos sobre los cuales solicitó deducción. Este valor no debe incluirse en el Concepto 5008,FORMATO_1001
concept_03,Concepto 5008,Compra de activos fijos (E.T. art 60 ). El valor acumulado pagado o abonado en cuenta,FORMATO_1001
concept_04,Concepto 5026,El valor acumulado de los pagos o abono en cuenta al exterior por regalias,FORMATO_1001
concept_05,Concepto 5024,El valor acumulado de los pagos o abono en cuenta al exterior por regalias,FORMATO_1001
concept_06,Concepto 5025,El valor acumulado de los pagos o abono en cuenta al exterior por patentes,FORMATO_1001
concept_07,Concepto 5034,Gastos pagados por anticipado por intereses y rendimientos financieros.El valor acumulado o abonado en cuenta,FORMATO_1001
concept_08,Concepto 5030,Gastos pagados por anticipado por Honorarios.El valor acumulado pagado o abonado en cuenta .No debe incluir valores de rentas de trabajo y de pensiones,FORMATO_1001
concept_09,Concepto 5031,Gastos pagados por anticipado por Comisiones.El valor acumulado pagado o abonado en cuenta .No debe incluir valores de rentas de trabajo y de pensiones,FORMATO_1001
concept_10,Concepto 5035,Gastos pagados por anticipado por otros conceptos: El valor cumulado pagado o abonado en cuenta,FORMATO_1001
concept_11,Concepto 5033,Gastos pagados por anticipado por arrendamientos.  El valor acumulado pagado o abonado en cuenta,FORMATO_1001
concept_12,Concepto 5032,Gastos pagados por anticipado por Servicios:El valor acumulado pagado o abonado en cuenta. No debe incluir valores de renta de trabajo y de pensiones,FORMATO_1001
concept_13,Concepto 5016,Los demás costos y deducciones,FORMATO_1001
concept_14,Concepto 5019,El monto de las amortizaciones realizadas,FORMATO_1001
concept_15,Concepto 5029,Gastos pagados por anticipado por Compras. El valor acumulado pagado o abonado en cuenta,FORMATO_1001
concept_16,Concepto 5057,Viaticos,FORMATO_1001
concept_17,Concepto 5043,Valor de las participaciones o dividendos pagados o abonados en cuenta en calidad de exigibles. El cual se reporta en el formato 1001,FORMATO_1001
concept_18,Concepto 5028,El valor acumulado de la devolución de pagos o abonos en cuenta y retenciones correspoondientes a operaciones en años anteriores,FORMATO_1001
concept_19,Concepto 5002,Honorarios: el valor acumulado pagado o abonado en cuenta. No debe incluir valores de retnas de trabajo y pensiones,FORMATO_1001
concept_20,Concepto 5003,Comisiones: el valor acumulado pagado o abonado en cuenta. No debe incluir valores de retnas de trabajo y pensiones,FORMATO_1001
concept_21,Concepto 5004,Servicios: el valor acumulado pagado o abonado en cuenta. No debe incluir valores de rentas de trabajo y pensiones,FORMATO_1001
concept_22,Concepto 5005,Arrendamientos: El valor acumulado pagado o abonado en cuenta,FORMATO_1001
concept_23,Concepto 5006,Intereses y rendimienntos financieros causados: El valor acumulado abonado en cuenta,FORMATO_1001
concept_24,Concepto 5044,El pago de loterias. rifas y apuestas similares,FORMATO_1001
concept_25,Concepto 5046,Enajenación de activos fijos de personas naturales ante oficinas de tránsito y otras entidades autorizadas,FORMATO_1001
concept_26,Concepto 5053,Retenciones practicadas a titutlo de timbre,FORMATO_1001
concept_27,Concepto 5054,La devolución de retenciones a título de impuesto de timbre. correspondiente a operaciones de años anteriores,FORMATO_1001
concept_28,Concepto 5055,Viáticos: El valor acumulado efectivamente pagado que no constituye ingreso para el trabajador,FORMATO_1001
